trip_distance,rate_code,fare_amount,extra,service_tax,tip_amount,tolls_amount,imp_surcharge,Peak Hour Charges,total_amount,total_amount with night charges,City_location_id,dropoff_location_id,year,month,day,day_of_week,hour_of_day,trip_duration,model,passenger_count,City_longitude,Delhi_latitude,dropoff_longitude,dropoff_latitude,Pickup_city,Pickup_State,Time_Category
15.7,3,3690,23,91,53,138.45,97.21,2,4093,8186,132,146,2020,10,20,Friday,5:43 PM,81,MINI,1,-0.004093,0.0335,0.016852,0.01798,Delhi,Delhi,Evening
7.3,5,2091,44,87,646.98,324.18,33.63,1,3227,3227,186,69,2023,2,24,Friday,3:33 PM,275,SUV,1,-74.429332,40.500046,-74.429332,40.500046,Mumbai,Maharashtra,AfterNoon
14.87,1,3321,15,67,685.52,256.98,62.34,0.8,4408,3526.4,138,89,2021,9,11,Monday,7:32 AM,105,AUTO,2,-73.99872,40.624708,-73.99872,40.624708,Kolkata,West Bengal,Morning
2.9,9,1804,9,84,53,299.68,3.63,0.8,2253,1802.4,90,162,2023,6,7,Wednesday,7:16 AM,276,MINI,1,-73.786918,40.639905,-73.932597,40.654143,Bangalore,Karnataka,Morning
8.96,4,2624,14,79,53,358.54,13.64,3.3,3142,10368.6,138,186,2023,4,20,Thrusday,2:32 AM,73,SEDAN,1,-73.788539,40.641357,-73.935006,40.752088,Chennai,Tamil Nadu,Late_Night
4.56,2,1845,37,85,578.1,295.25,43.59,1,2884,2884,163,261,2022,2,7,Tuesday,2:53 PM,176,MINI,1,-73.788145,40.641979,-73.880388,40.748567,Hyderabad,Telangana,AfterNoon
14.8,2,3444,0,68,7531.92,112.15,61.2,0.8,11217,8973.6,132,29,2018,12,10,Sunday,10:15 AM,214,SUV,4,-73.78555,40.64205,-73.980793,40.749187,Pune,Maharashtra,Morning
8.6,10,2132,23,129,533.82,160.75,19.56,3.3,2998,9893.4,233,138,2023,11,30,Thrusday,12:17 AM,81,SUV,2,-73.789652,40.643633,-73.987165,40.768555,Ahmedabad,Gujarat,Late_Night
17.53,3,5576,16,88,1656.4,43.76,41.37,3.3,7422,24492.6,234,1,2018,2,16,Thrusday,12:15 AM,118,SUV,2,-73.79025,40.643705,-74.00227,40.734542,Surat,Gujarat,Late_Night
7.26,9,1927,34,123,398.52,91.55,84.94,2.5,2659,6647.5,138,233,2022,11,18,Saturday,10:15 PM,179,MINI,1,-73.78701019,40.64413834,-73.81063843,40.69221878,Lucknow,Uttar Pradesh,Night
7.56,8,2419,28,89,591.22,148.43,55.36,1,3331,3331,88,145,2023,3,27,Monday,1:19 PM,275,SUV,5,-73.782215,40.644272,-73.782217,40.64427,Jaipur,Rajasthan,AfterNoon
18.6,3,5617,18,121,1717.9,245.81,58.77,0.8,7778,6222.4,163,1,2020,11,5,Sunday,8:19 AM,34,SUV,5,-73.782235,40.644691,-73.973344,40.738062,Kanpur,Uttar Pradesh,Morning
15.7,2,3936,44,139,53,202.74,47.26,2,4422,8844,132,89,2022,5,8,Monday,4:07 PM,21,MINI,2,-73.781915,40.644812,-73.7191,40.631005,Mirzapur,Uttar Pradesh,Evening
7.5,3,1927,12,83,55353.2,21.28,72.43,2,57469,114938,170,7,2018,3,5,Sunday,6:37 PM,71,MINI,1,-73.782133,40.644869,-73.924678,40.69249,Nagpur,Maharashtra,Evening
4.4,4,1804,42,109,373.92,132.41,13.95,2.5,2475,6187.5,151,161,2019,6,6,Tuesday,8:08 PM,17,SUV,1,-73.781127,40.645007,-73.981802,40.762515,Ghaziabad,Uttar Pradesh,Night
0.04,1,3936,31,85,795.4,287.9,61.78,1,5197,5197,264,262,2020,3,28,Tuesday,3:42 PM,106,MINI,1,-73.776747,40.645265,-73.813803,40.709035,Supaul,Bihar,AfterNoon
6.12,5,1763,29,108,221.4,200.61,3.69,0.8,2326,1860.8,231,140,2019,6,5,Monday,11:30 AM,86,SUV,1,-73.776721,40.645324,-73.983183,40.748877,Vadodara,Gujarat,Morning
15.38,5,3690,43,142,574,38.34,42.56,2,4530,9060,138,143,2022,11,16,Thrusday,7:06 PM,21,SUV,2,-73.77672,40.645412,-73.978832,40.774932,Rajkot,Gujarat,Evening
9.7,10,2829,49,132,153538.6,391.17,39.82,2,980,1960,48,138,2022,11,28,Tuesday,5:00 PM,220,SUV,5,-73.776713,40.645447,-73.980527,40.770763,Vishakhapatnam,Andhra Pradesh,Evening
4.4,3,2419,6,120,2535,374.98,46.46,1,5501,5501,144,162,2018,5,26,Friday,12:33 PM,123,SUV,1,-73.776477,40.64629,-73.776477,40.64629,Indore,Madhya Pradesh,AfterNoon
11.2,6,3731,8,96,947.1,311.86,36.04,2,5130,10260,138,249,2018,5,3,Wednesday,4:22 PM,297,SUV,1,-73.789985,40.646382,-74.03497,40.611455,Thane,Maharashtra,Evening
18,1,3977,22,132,656,20.92,64.98,1,4873,4873,132,11,2023,5,1,Monday,3:19 PM,153,MINI,2,-73.789506,40.64704,-73.815622,40.680364,Bhopal,Madhya Pradesh,AfterNoon
3.6,4,2337,34,53,4853.52,239.18,34.4,0.8,7551,6040.8,144,230,2023,7,27,Thrusday,5:59 AM,272,SUV,1,-73.788127,40.647295,-73.978957,40.756305,Pimpri-Chinchwad,Maharashtra,Morning
0.2,10,246,31,87,61.5,166.67,6.49,0.8,599,479.2,236,236,2020,4,4,Tuesday,10:32 AM,222,SUV,3,-73.783545,40.648577,-73.9715,40.7611,Patna,Bihar,Morning
3.9,9,1927,34,101,492.82,25.1,76.21,1,2656,2656,186,146,2022,2,7,Tuesday,2:02 PM,155,MINI,1,-74.005322,40.650103,-73.859852,40.711942,Bilaspur,Chhattisgarh,AfterNoon
11.26,5,2993,45,114,53,38.11,80.61,2.5,3324,8310,48,257,2018,3,18,Saturday,9:21 PM,101,AUTO,5,-73.788498,40.65458,-73.752772,40.6617,Ludhiana,Punjab,Night
6.57,1,1763,4,80,457.56,26.64,20.1,0.8,2351,1880.8,233,231,2019,11,29,Wednesday,9:00 AM,180,AUTO,1,-73.789203,40.655194,-73.996509,40.737216,agra,Uttar Pradesh,Morning
8.6,6,2255,8,60,557.6,164.09,35.23,1,3080,3080,138,233,2022,2,9,Thrusday,3:08 PM,227,MINI,3,-73.794116,40.657058,-73.794132,40.657039,Madurai,Tamil Nadu,AfterNoon
9.53,6,2337,34,120,574.82,290.06,31.74,1,3388,3388,239,138,2021,3,8,Wednesday,1:16 PM,72,AUTO,1,-74.001218,40.674023,-73.999423,40.672925,Jamshedpur,Jharkhand,AfterNoon
13.4,2,3321,9,135,15325,168.94,38.65,0.8,18998,15198.4,138,225,2023,6,3,Saturday,9:37 AM,262,MINI,1,-73.983837,40.676052,-74.002522,40.723145,Prayagraj,Uttar Pradesh,Morning
13.24,2,3198,35,108,763.42,269.06,74.37,1,4448,4448,138,209,2018,6,25,Sunday,1:46 PM,15,AUTO,1,-73.978077,40.679975,-73.98949,40.665362,Nasik,Maharashtra,AfterNoon
10.08,4,3116,40,84,933.98,297.86,3.31,1,4475,4475,138,249,2018,3,27,Monday,12:58 PM,174,MINI,5,-73.980755,40.680558,-73.98911,40.726788,Faridabad,Haryana,AfterNoon
10.24,9,3198,25,134,747.532,300.52,11.89,3.3,4417,14576.1,230,138,2022,9,24,Sunday,3:38 AM,284,AUTO,1,-73.980759,40.680705,-73.989813,40.690149,Meerut,Uttar Pradesh,Late_Night
7.61,8,1886,22,156,441.98,132.1,21.84,2,2660,5320,166,200,2021,12,20,Wednesday,7:52 PM,198,AUTO,1,-73.99784,40.68295,-73.980198,40.676842,Jabalpur,Madhya Pradesh,Evening
3.9,2,2132,39,152,53,99.39,86.41,1,2562,2562,238,164,2020,11,8,Wednesday,2:07 PM,110,MINI,6,-73.978772,40.684557,-73.98179,40.714545,Kalyan,Maharashtra,AfterNoon
15.34,6,3444,21,81,7153.12,326.28,18.19,3.3,11044,36445.2,138,89,2022,5,2,Tuesday,12:37 AM,105,MINI,6,-73.996359,40.686204,-73.972373,40.762092,Vasai-Virar,Maharashtra,Late_Night
24.39,2,5371,13,145,15395.52,115.68,25.39,2,21066,42132,132,227,2019,10,5,Thrusday,4:07 PM,254,AUTO,1,-73.994448,40.690077,-73.988643,40.693565,Najafgarh,Delhi,Evening
4.68,5,1927,26,108,398.52,95.06,98.67,1,2653,2653,161,13,2018,2,6,Monday,3:46 PM,124,AUTO,1,-73.994279,40.690409,-74.016739,40.709063,Varanasi,Uttar Pradesh,AfterNoon
8.9,3,2378,43,76,229.6,234.64,46.11,2,3007,6014,113,166,2020,3,17,Friday,5:45 PM,49,AUTO,1,-73.994535,40.690711,-74.004799,40.713773,Srinagar,Jammu and Kashmir,Evening
8.3,2,2050,0,92,516.6,43.61,84.43,3.3,2787,9197.1,138,233,2018,10,7,Saturday,1:37 AM,74,AUTO,1,-73.99657,40.690783,-73.976548,40.682672,Aurangabad,Maharashtra,Late_Night
9.95,6,2378,6,45,344.4,37.88,20.84,3.3,2832,9345.6,138,90,2020,11,29,Wednesday,12:52 AM,179,AUTO,1,-73.989258,40.690835,-74.004133,40.72569,Dhanbad,Jharkhand,Late_Night
